Title,Author,Average_Rating
Where the Heart Is,Billie Letts,4.04
"Daughter of the Forest  (Sevenwaters, #1)",Juliet Marillier,4.29
"Dead as a Doornail (Sookie Stackhouse, #5)",Charlaine Harris,4.01
"Kane & Abel (Kane & Abel, #1)",Jeffrey Archer,4.34
Beach Read,Emily Henry,3.97
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.27
"The Ruins of Gorlan (Ranger's Apprentice, #1)",John Flanagan,4.26
Illusions: The Adventures of a Reluctant Messiah,Richard Bach,4.15
"The Mysterious Benedict Society (The Mysterious Benedict Society, #1)",Trenton Lee Stewart,4.20
Thus Spoke Zarathustra,Friedrich Nietzsche,4.07
Hello Beautiful,Ann Napolitano,4.13
Revolutionary Road,Richard Yates,3.93
"Iron Flame (The Empyrean, #2)",Rebecca Yarros,4.36
"The Ballad of Songbirds and Snakes (The Hunger Games, #0)",Suzanne Collins,3.99
"The Reckoning (Darkest Powers, #3)",Kelley Armstrong,4.18
Heartless,Marissa Meyer,4.09
Shakespeare's Sonnets,William Shakespeare,4.25
"Specials (Uglies, #3)",Scott Westerfeld,3.75
High-Rise,J.G. Ballard,3.60
"Breaking Dawn (The Twilight Saga, #4)",Stephenie Meyer,3.75
