Title,Author,Average_Rating
"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,4.55
Eragon (The Inheritance Cycle #1),Christopher Paolini,3.96
A Flicker in the Dark,Stacy Willingham,3.97
Then She Was Gone,Lisa Jewell,4.04
The Very Hungry Caterpillar,Eric Carle,4.34
Looking for Alaska,John Green,3.96
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,4.24
"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,4.17
Middlesex,Jeffrey Eugenides,4.04
The Adventures of Tom Sawyer,Mark Twain,3.92
"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón,4.31
The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.89
"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",Mitch Albom,4.20
"Six of Crows (Six of Crows, #1)",Leigh Bardugo,4.46
Perfume: The Story of a Murderer,Patrick Süskind,4.04
"Holes (Holes, #1)",Louis Sachar,4.01
The Unbearable Lightness of Being,Milan Kundera,4.11
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,4.58
Fight Club,Chuck Palahniuk,4.18
The Name of the Rose,Umberto Eco,4.14
On the Road,Jack Kerouac,3.61
Where the Red Fern Grows,Wilson Rawls,4.12
"The Godfather (The Godfather, #1)",Mario Puzo,4.40
In Cold Blood,Truman Capote,4.09
The Scarlet Letter,Nathaniel Hawthorne,3.44
"American Gods: Tenth Anniversary (American Gods, #1)",Neil Gaiman,4.10
"Catching Fire (The Hunger Games, #2)",Suzanne Collins,4.35
The Five People You Meet in Heaven,Mitch Albom,4.01
The Song of Achilles,Madeline Miller,4.31
Watchmen,Alan             Moore,4.39
The Divine Comedy: Inferno - Purgatorio - Paradiso,Dante Alighieri,4.08
All Quiet on the Western Front,Erich Maria Remarque,4.11
"The Cat in the Hat (Cat in the Hat, #1)",Dr. Seuss,4.19
The Secret History,Donna Tartt,4.16
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,4.25
"Lonesome Dove (Lonesome Dove, #1)",Larry McMurtry,4.57
"The Little House Collection (Little House, #1-9)",Laura Ingalls Wilder,4.36
"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick,3.92
Peter Pan,J.M. Barrie,4.03
"The Titan’s Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,4.37
"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,4.42
Love in the Time of Cholera,Gabriel García Márquez,3.94
"Insurgent (Divergent, #2)",Veronica Roth,3.96
"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,4.18
The Addiction Manifesto,Jerry Weaver,4.75
"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,4.24
A Walk to Remember,Nicholas Sparks,4.20
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,4.64
"Clockwork Princess (The Infernal Devices, #3)",Cassandra Clare,4.55
How the Grinch Stole Christmas!,Dr. Seuss,4.38
The Thorn Birds,Colleen McCullough,4.25
"The Ultimate Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",Douglas Adams,4.38
"The Maze Runner (The Maze Runner, #1)",James Dashner,4.05
"Shadow Kiss (Vampire Academy, #3)",Richelle Mead,4.33
The Compleat Works of Wllm Shkspr,Reduced Shakespeare Company,4.43
Their Eyes Were Watching God,Zora Neale Hurston,3.99
